ridership_route_code,current_garage,year_month,day_type,on_time_percent,avg_riders,day_count,daily_trip_dist,daily_trip_count,year,month,current_garage_code,day_type_code
051,West Mifflin,201702,SAT.,0.6838,4782,4,1687.914,122,2017,02,4,0
051,West Mifflin,201702,SUN.,0.6684,3147,4,1054.998,76,2017,02,4,1
051L,West Mifflin,201702,WEEKDAY,0.6878,740,20,122.263,26,2017,02,4,2
052L,West Mifflin,201702,WEEKDAY,0.6085,433,20,240.82,20,2017,02,4,2
053,West Mifflin,201702,SAT.,0.8008,316,4,307.326,34,2017,02,4,0
053L,West Mifflin,201702,WEEKDAY,0.6629,1373,20,913.126,55,2017,02,4,2
054,Ross,201702,WEEKDAY,0.6712,4074,20,1376.747,114,2017,02,3,2
054,Ross,201702,SAT.,0.6508,2469,4,970.692,81,2017,02,3,0
054,Ross,201702,SUN.,0.6387,1156,4,527.564,44,2017,02,3,1
055,West Mifflin,201702,WEEKDAY,0.8185,901,20,844.173,35,2017,02,4,2
055,West Mifflin,201702,SAT.,0.8384,644,4,844.173,35,2017,02,4,0
055,West Mifflin,201702,SUN.,0.7337,464,4,795.387,33,2017,02,4,1
056,West Mifflin,201702,WEEKDAY,0.7255,1715,20,931.534,60,2017,02,4,2
056,West Mifflin,201702,SAT.,0.8259,695,4,475.082,34,2017,02,4,0
056,West Mifflin,201702,SUN.,0.8821,504,4,447.136,32,2017,02,4,1
057,West Mifflin,201702,WEEKDAY,0.7763,1273,20,559.705,62,2017,02,4,2
057,West Mifflin,201702,SAT.,0.6936,941,4,343.045,38,2017,02,4,0
057,West Mifflin,201702,SUN.,0.7152,648,4,324.99,36,2017,02,4,1
058,East Liberty,201702,WEEKDAY,0.6614,1228,20,591.682,52,2017,02,1,2
058,East Liberty,201702,SAT.,0.6047,314,4,273.084,24,2017,02,1,0
058,East Liberty,201702,SUN.,0.7597,185,4,204.813,18,2017,02,1,1
059,West Mifflin,201702,WEEKDAY,0.6945,1950,20,1280.654,38,2017,02,4,2
059,West Mifflin,201702,SAT.,0.731,1882,4,1212.351,36,2017,02,4,0
059,West Mifflin,201702,SUN.,0.6714,1229,4,939.139,28,2017,02,4,1
060,West Mifflin,201702,WEEKDAY,0.7606,515,20,170.26,30,2017,02,4,2
061A,West Mifflin,201702,WEEKDAY,0.6025,5079,20,1263.222,108,2017,02,4,2
061A,West Mifflin,201702,SAT.,0.6245,3392,4,1005.899,86,2017,02,4,0
061A,West Mifflin,201702,SUN.,0.6484,2314,4,748.576,64,2017,02,4,1
061B,West Mifflin,201702,WEEKDAY,0.6429,4688,20,1093.374,114,2017,02,4,2
061B,West Mifflin,201702,SAT.,0.6708,2974,4,939.918,98,2017,02,4,0
061B,West Mifflin,201702,SUN.,0.6429,1930,4,633.006,66,2017,02,4,1
061C,West Mifflin,201702,WEEKDAY,0.6329,6589,20,1712.451,114,2017,02,4,2
